,model,cena,link
0,iphone 11 64gb,1 700 zł,https://www.olx.pl/d/oferta/apple-iphone-11-64gb-white-black-1700zl-zlote-tarasy-CID99-IDWO8Ac.html
1,iphone 11 64gb,1 700 zł,https://www.olx.pl/d/oferta/apple-iphone-11-64gb-white-black-1700zl-zlote-tarasy-CID99-IDWO8Ac.html
2,iphone 15 pro 256gb,4 350 zł,https://www.olx.pl/d/oferta/apple-iphone-15-pro-256gb-white-jak-nowy-gw-apple-100-bat-CID99-IDZVF0w.html
3,iphone 15 pro 256gb,4 350 zł,https://www.olx.pl/d/oferta/apple-iphone-15-pro-256gb-white-jak-nowy-gw-apple-100-bat-CID99-IDZVF0w.html
4,iphone 13! 512gb,2 999 zł,https://www.olx.pl/d/oferta/iphone-13-512gb-nowy-gwarancja-CID99-IDYCNrq.html
5,iphone 13! 512gb,2 999 zł,https://www.olx.pl/d/oferta/iphone-13-512gb-nowy-gwarancja-CID99-IDYCNrq.html
6,iphone 12 pro 256gb,600 zł,https://www.olx.pl/d/oferta/iphone-12-pro-256gb-CID99-ID106z6k.html
7,iphone 12 pro 256gb,600 zł,https://www.olx.pl/d/oferta/iphone-12-pro-256gb-CID99-ID106z6k.html
8,iphone 13 128 gb,1 100 zł,https://www.olx.pl/d/oferta/iphone-13-128-gb-gwarancja-CID99-ID1068a6.html
9,iphone 13 128 gb,1 100 zł,https://www.olx.pl/d/oferta/iphone-13-128-gb-gwarancja-CID99-ID1068a6.html
10,iphone 12 64gb,700 zł,https://www.olx.pl/d/oferta/iphone-12-64gb-niebieski-rezerwacja-CID99-ID106rB7.html
11,iphone 12 64gb,700 zł,https://www.olx.pl/d/oferta/iphone-12-64gb-niebieski-rezerwacja-CID99-ID106rB7.html
12,iphone 11 128gb,600 zł,https://www.olx.pl/d/oferta/iphone-11-128gb-fioletowy-CID99-ID106aZG.html
13,iphone 11 128gb,600 zł,https://www.olx.pl/d/oferta/iphone-11-128gb-fioletowy-CID99-ID106aZG.html
14,i,350 zł,https://www.olx.pl/d/oferta/iphone-11-98-kondycji-CID99-ID106mzu.html
15,i,350 zł,https://www.olx.pl/d/oferta/iphone-11-98-kondycji-CID99-ID106mzu.html
16,iphone xs 256gb,299 zł,https://www.olx.pl/d/oferta/apple-iphone-xs-256gb-CID99-ID106gjt.html
17,iphone xs 256gb,299 zł,https://www.olx.pl/d/oferta/apple-iphone-xs-256gb-CID99-ID106gjt.html
18,i,650 zł,https://www.olx.pl/d/oferta/iphone-11-uzywany-sprawny-CID99-ID106pzb.html
19,i,650 zł,https://www.olx.pl/d/oferta/iphone-11-uzywany-sprawny-CID99-ID106pzb.html
20,iphone 11 64gb,520 zł,https://www.olx.pl/d/oferta/iphone-11-64gb-szary-CID99-ID106gtA.html
21,iphone 11 64gb,520 zł,https://www.olx.pl/d/oferta/iphone-11-64gb-szary-CID99-ID106gtA.html
22,"iphone 11 pro, 64 gb",800 zł,https://www.olx.pl/d/oferta/iphone-11-pro-64-gb-po-wymianie-baterii-stan-idealny-bez-grama-rys-CID99-ID106v4G.html
23,"iphone 11 pro, 64 gb",800 zł,https://www.olx.pl/d/oferta/iphone-11-pro-64-gb-po-wymianie-baterii-stan-idealny-bez-grama-rys-CID99-ID106v4G.html
24,i,120 zł,https://www.olx.pl/d/oferta/iphone-7-stan-bardzo-dobry-CID99-ID106hQF.html
25,i,120 zł,https://www.olx.pl/d/oferta/iphone-7-stan-bardzo-dobry-CID99-ID106hQF.html
26,iphone 14 pro max 512gb,4 250 zł,https://www.olx.pl/d/oferta/iphone-14-pro-max-512gb-stan-idealny-bateria-96-CID99-ID1015Bo.html
27,iphone 14 pro max 512gb,4 250 zł,https://www.olx.pl/d/oferta/iphone-14-pro-max-512gb-stan-idealny-bateria-96-CID99-ID1015Bo.html
28,iphone 15 pro 128gb,4 150 zł,https://www.olx.pl/d/oferta/apple-iphone-15-pro-128gb-black-zaplombowane-CID99-ID102o4x.html
29,iphone 15 pro 128gb,4 150 zł,https://www.olx.pl/d/oferta/apple-iphone-15-pro-128gb-black-zaplombowane-CID99-ID102o4x.html
30,iphone 15 pro max 256gb,4 999 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-256gb-niebieski-tytan-nowy-CID99-IDZYia8.html
31,iphone 15 pro max 256gb,4 999 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-256gb-niebieski-tytan-nowy-CID99-IDZYia8.html
32,i,3 050 zł,https://www.olx.pl/d/oferta/iphone-14-pro-czarny-CID99-ID106vLt.html
33,i,3 050 zł,https://www.olx.pl/d/oferta/iphone-14-pro-czarny-CID99-ID106vLt.html
34,iphone 15 pro 128gb,3 850 zł,https://www.olx.pl/d/oferta/iphone-15-pro-128gb-gwarancja-CID99-IDZVuhb.html
35,iphone 15 pro 128gb,3 850 zł,https://www.olx.pl/d/oferta/iphone-15-pro-128gb-gwarancja-CID99-IDZVuhb.html
36,i,1 300 zł,https://www.olx.pl/d/oferta/iphone-13-zadbany-CID99-ID106s2D.html
37,i,1 300 zł,https://www.olx.pl/d/oferta/iphone-13-zadbany-CID99-ID106s2D.html
38,iphone 15 128gb,3 000 zł,https://www.olx.pl/d/oferta/iphone-15-128gb-nowy-CID99-IDZYLPY.html
39,iphone 15 128gb,3 000 zł,https://www.olx.pl/d/oferta/iphone-15-128gb-nowy-CID99-IDZYLPY.html
40,iphone 15 pro max 512 gb,4 500 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-512-gb-CID99-ID106tqA.html
41,iphone 15 pro max 512 gb,4 500 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-512-gb-CID99-ID106tqA.html
42,iphone 14 128gb,2 000 zł,https://www.olx.pl/d/oferta/iphone-14-128gb-CID99-ID1068yn.html
43,iphone 14 128gb,2 000 zł,https://www.olx.pl/d/oferta/iphone-14-128gb-CID99-ID1068yn.html
44,iphone 13 128gb,1 449 zł,https://www.olx.pl/d/oferta/iphone-13-128gb-blue-CID99-ID10629f.html
45,iphone 13 128gb,1 449 zł,https://www.olx.pl/d/oferta/iphone-13-128gb-blue-CID99-ID10629f.html
46,iphone 8 64gb,280 zł,https://www.olx.pl/d/oferta/iphone-8-64gb-gold-87-CID99-ID106fo5.html
47,iphone 8 64gb,280 zł,https://www.olx.pl/d/oferta/iphone-8-64gb-gold-87-CID99-ID106fo5.html
48,i,2 100 zł,https://www.olx.pl/d/oferta/iphone-13-pro-gold-CID99-ID106maW.html
49,i,2 100 zł,https://www.olx.pl/d/oferta/iphone-13-pro-gold-CID99-ID106maW.html
50,i,100 zł,https://www.olx.pl/d/oferta/iphone-xs-korpus-CID99-ID1065B9.html
51,i,100 zł,https://www.olx.pl/d/oferta/iphone-xs-korpus-CID99-ID1065B9.html
52,iphone 15 pro 256gb,4 900 zł,https://www.olx.pl/d/oferta/iphone-15-pro-256gb-czarny-tytanowy-niebieski-bialy-4900zl-zelazna-89-CID99-IDVEQKY.html
53,iphone 15 pro 256gb,4 900 zł,https://www.olx.pl/d/oferta/iphone-15-pro-256gb-czarny-tytanowy-niebieski-bialy-4900zl-zelazna-89-CID99-IDVEQKY.html
54,iphone 13 pro 128gb,2 178 zł,https://www.olx.pl/d/oferta/apple-iphone-13-pro-128gb-5g-rozne-kolory-gwarancja-12-miesiecy-krakow-CID99-IDZLkJU.html
55,iphone 13 pro 128gb,2 178 zł,https://www.olx.pl/d/oferta/apple-iphone-13-pro-128gb-5g-rozne-kolory-gwarancja-12-miesiecy-krakow-CID99-IDZLkJU.html
56,iphone 12 pro max 128gb,1 250 zł,https://www.olx.pl/d/oferta/iphone-12-pro-max-128gb-CID99-ID106aUK.html
57,iphone 12 pro max 128gb,1 250 zł,https://www.olx.pl/d/oferta/iphone-12-pro-max-128gb-CID99-ID106aUK.html
58,iphone xr biały 64 gb,280 zł,https://www.olx.pl/d/oferta/iphone-xr-bialy-64-gb-uszkodzony-CID99-ID1068NV.html
59,iphone xr biały 64 gb,280 zł,https://www.olx.pl/d/oferta/iphone-xr-bialy-64-gb-uszkodzony-CID99-ID1068NV.html
60,iphone 13 128 gb,2 100 zł,https://www.olx.pl/d/oferta/iphone-13-128-gb-nowy-na-garancji-CID99-ID106196.html
61,iphone 13 128 gb,2 100 zł,https://www.olx.pl/d/oferta/iphone-13-128-gb-nowy-na-garancji-CID99-ID106196.html
62,iphone 11 (64gb,1 000 zł,https://www.olx.pl/d/oferta/iphone-11-64gb-CID99-ID102NJe.html
63,iphone 11 (64gb,1 000 zł,https://www.olx.pl/d/oferta/iphone-11-64gb-CID99-ID102NJe.html
64,i,140 zł,https://www.olx.pl/d/oferta/iphone-8-uszkodzony-mikrofon-CID99-ID105YR2.html
65,i,140 zł,https://www.olx.pl/d/oferta/iphone-8-uszkodzony-mikrofon-CID99-ID105YR2.html
66,iphone 11 (64gb,620 zł,https://www.olx.pl/d/oferta/iphone-11-64gb-CID99-ID106qKR.html
67,iphone 11 (64gb,620 zł,https://www.olx.pl/d/oferta/iphone-11-64gb-CID99-ID106qKR.html
68,iphone 13 różowy 128 gb,1 490 zł,https://www.olx.pl/d/oferta/iphone-13-rozowy-128-gb-CID99-ID106o1K.html
69,iphone 13 różowy 128 gb,1 490 zł,https://www.olx.pl/d/oferta/iphone-13-rozowy-128-gb-CID99-ID106o1K.html
70,i,300 zł,https://www.olx.pl/d/oferta/iphone-11-czarny-CID99-ID1064Ui.html
71,i,300 zł,https://www.olx.pl/d/oferta/iphone-11-czarny-CID99-ID1064Ui.html
72,i,4 200 zł,https://www.olx.pl/d/oferta/iphone-14-pro-max-CID99-IDYuniN.html
73,i,4 200 zł,https://www.olx.pl/d/oferta/iphone-14-pro-max-CID99-IDYuniN.html
74,iphone 6s silver black apple pay a9 ios 15.8.2 100% bat 128 gb,359 zł,https://www.olx.pl/d/oferta/iphone-6s-silver-black-apple-pay-a9-ios-15-8-2-100-bat-128-gb-CID99-IDZqk2m.html
75,iphone 6s silver black apple pay a9 ios 15.8.2 100% bat 128 gb,359 zł,https://www.olx.pl/d/oferta/iphone-6s-silver-black-apple-pay-a9-ios-15-8-2-100-bat-128-gb-CID99-IDZqk2m.html
76,iphone  14 128 gb,1 000 zł,https://www.olx.pl/d/oferta/sprzedam-iphone-14-128-gb-CID99-ID1064uU.html
77,iphone  14 128 gb,1 000 zł,https://www.olx.pl/d/oferta/sprzedam-iphone-14-128-gb-CID99-ID1064uU.html
78,iphone 12 czarny 128gb,1 100 zł,https://www.olx.pl/d/oferta/iphone-12-czarny-128gb-z-ladowarka-CID99-ID106y45.html
79,iphone 12 czarny 128gb,1 100 zł,https://www.olx.pl/d/oferta/iphone-12-czarny-128gb-z-ladowarka-CID99-ID106y45.html
80,i,629 zł,https://www.olx.pl/d/oferta/iphone-11-okazja-CID99-ID105hug.html
81,i,629 zł,https://www.olx.pl/d/oferta/iphone-11-okazja-CID99-ID105hug.html
82,i,600 zł,https://www.olx.pl/d/oferta/iphone-11-bez-uszkodzen-CID99-ID105VGt.html
83,i,600 zł,https://www.olx.pl/d/oferta/iphone-11-bez-uszkodzen-CID99-ID105VGt.html
84,i,zamienię,https://www.olx.pl/d/oferta/iphone-12-w-stanie-bardzo-dobrym-CID99-IDYDhFJ.html
85,i,zamienię,https://www.olx.pl/d/oferta/iphone-12-w-stanie-bardzo-dobrym-CID99-IDYDhFJ.html
86,i,1 400 zł,https://www.olx.pl/d/oferta/iphone-13-starlight-CID99-ID106ipp.html
87,i,1 400 zł,https://www.olx.pl/d/oferta/iphone-13-starlight-CID99-ID106ipp.html
88,iphone 15 pro 128gb,4 000 zł,https://www.olx.pl/d/oferta/iphone-15-pro-128gb-CID99-ID105Oc7.html
89,iphone 15 pro 128gb,4 000 zł,https://www.olx.pl/d/oferta/iphone-15-pro-128gb-CID99-ID105Oc7.html
90,i,1 480 zł,https://www.olx.pl/d/oferta/iphone-13-black-CID99-ID106qwn.html
91,i,1 480 zł,https://www.olx.pl/d/oferta/iphone-13-black-CID99-ID106qwn.html
92,i,699 zł,https://www.olx.pl/d/oferta/iphone-rozne-modele-sklep-koscierzyna-CID99-IDQf6eR.html
93,i,699 zł,https://www.olx.pl/d/oferta/iphone-rozne-modele-sklep-koscierzyna-CID99-IDQf6eR.html
94,i,330 zł,https://www.olx.pl/d/oferta/iphone-12-pro-wymiana-zbitej-klapki-obudowy-montaz-w-cenie-CID99-IDYIFgo.html
95,i,330 zł,https://www.olx.pl/d/oferta/iphone-12-pro-wymiana-zbitej-klapki-obudowy-montaz-w-cenie-CID99-IDYIFgo.html
96,iphone 11 128 gb,800 zł,https://www.olx.pl/d/oferta/iphone-11-128-gb-CID99-IDZLmby.html
97,iphone 11 128 gb,800 zł,https://www.olx.pl/d/oferta/iphone-11-128-gb-CID99-IDZLmby.html
98,i,1 480 zł,https://www.olx.pl/d/oferta/iphone-13-black-CID99-ID106qwn.html
99,i,1 480 zł,https://www.olx.pl/d/oferta/iphone-13-black-CID99-ID106qwn.html
100,i,220 zł,https://www.olx.pl/d/oferta/iphone-8-100-kondycji-baterii-CID99-ID1067iB.html
101,i,220 zł,https://www.olx.pl/d/oferta/iphone-8-100-kondycji-baterii-CID99-ID1067iB.html
102,iphone 13 niebieski 128gb,1 500 zł,https://www.olx.pl/d/oferta/sprzedam-iphone-13-niebieski-128gb-CID99-ID106dAr.html
103,iphone 13 niebieski 128gb,1 500 zł,https://www.olx.pl/d/oferta/sprzedam-iphone-13-niebieski-128gb-CID99-ID106dAr.html
104,iphone 11 64 gb,650 zł,https://www.olx.pl/d/oferta/iphone-11-64-gb-CID99-ID106hwB.html
105,iphone 11 64 gb,650 zł,https://www.olx.pl/d/oferta/iphone-11-64-gb-CID99-ID106hwB.html
106,iphone 12 128gb,1 300 zł,https://www.olx.pl/d/oferta/iphone-12-128gb-CID99-ID10618S.html
107,iphone 12 128gb,1 300 zł,https://www.olx.pl/d/oferta/iphone-12-128gb-CID99-ID10618S.html
108,iphone 12 64gb,900 zł,https://www.olx.pl/d/oferta/iphone-12-64gb-granatowy-CID99-ID105SOg.html
109,iphone 12 64gb,900 zł,https://www.olx.pl/d/oferta/iphone-12-64gb-granatowy-CID99-ID105SOg.html
110,iphone 15 pro max 512 gb,4 700 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-512-gb-CID99-ID106vfS.html
111,iphone 15 pro max 512 gb,4 700 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-512-gb-CID99-ID106vfS.html
112,i,1 100 zł,https://www.olx.pl/d/oferta/iphone-13-pro-max-CID99-ID106sgH.html
113,i,1 100 zł,https://www.olx.pl/d/oferta/iphone-13-pro-max-CID99-ID106sgH.html
114,i,750 zł,https://www.olx.pl/d/oferta/iphone-11-pro-max-pobity-CID99-ID106yhR.html
115,i,750 zł,https://www.olx.pl/d/oferta/iphone-11-pro-max-pobity-CID99-ID106yhR.html
116,iphone 11 pro 256 gb,1 350 zł,https://www.olx.pl/d/oferta/iphone-11-pro-256-gb-zloty-CID99-ID104Kln.html
117,iphone 11 pro 256 gb,1 350 zł,https://www.olx.pl/d/oferta/iphone-11-pro-256-gb-zloty-CID99-ID104Kln.html
118,iphone 14 pro max 256 gb,3 999 zł,https://www.olx.pl/d/oferta/iphone-14-pro-max-256-gb-deep-purple-97-kondycji-bateri-gwarancja-CID99-IDYDzF4.html
119,iphone 14 pro max 256 gb,3 999 zł,https://www.olx.pl/d/oferta/iphone-14-pro-max-256-gb-deep-purple-97-kondycji-bateri-gwarancja-CID99-IDYDzF4.html
120,iphone 15 pro max 256gb,5 300 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-256gb-tytan-niebieski-blekitny-5300zl-zelazna-89-CID99-IDVtYc8.html
121,iphone 15 pro max 256gb,5 300 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-256gb-tytan-niebieski-blekitny-5300zl-zelazna-89-CID99-IDVtYc8.html
122,iphone 13 pro 128gb,2 000 zł,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-CID99-ID105Sdj.html
123,iphone 13 pro 128gb,2 000 zł,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-CID99-ID105Sdj.html
124,iphone 15 pro max 256 gb,4 000 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-256-gb-CID99-ID106gUD.html
125,iphone 15 pro max 256 gb,4 000 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-256-gb-CID99-ID106gUD.html
